model,accuracy,precision,recall,f1,roc_auc,pr_auc
DecisionTree,0.7142857142857143,0.4768211920529801,0.7686832740213523,0.5885558583106267,0.8220227831382764,0.6191523768535823
NeuralNetwork,0.7530747398297067,0.5239234449760766,0.7793594306049823,0.6266094420600858,0.8446775140330924,0.6514995762251037
