threshold,precision,recall,f1
0.1,0.3452229299363057,0.9644128113879004,0.5084427767354597
0.15000000000000002,0.3773049645390071,0.9466192170818505,0.539553752535497
0.2,0.3789173789173789,0.9466192170818505,0.5412004069175992
0.25,0.3789173789173789,0.9466192170818505,0.5412004069175992
0.30000000000000004,0.4426229508196721,0.8647686832740213,0.5855421686746988
0.35,0.4506517690875233,0.8612099644128114,0.5916870415647921
0.4,0.4621359223300971,0.8469750889679716,0.5979899497487438
0.45000000000000007,0.46421267893660534,0.8078291814946619,0.5896103896103896
0.5,0.4768211920529801,0.7686832740213523,0.5885558583106267
0.55,0.5585585585585585,0.6619217081850534,0.6058631921824105
0.6,0.5585585585585585,0.6619217081850534,0.6058631921824105
0.65,0.5896551724137931,0.608540925266904,0.5989492119089317
0.7000000000000001,0.6396761133603239,0.5622775800711743,0.5984848484848485
0.75,0.6396761133603239,0.5622775800711743,0.5984848484848485
0.8,0.7164179104477612,0.3416370106761566,0.46265060240963857
0.85,0.7164179104477612,0.3416370106761566,0.46265060240963857
0.9,0.918918918918919,0.12099644128113879,0.2138364779874214
