mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__criterion,param_clf__max_depth,param_clf__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.12936758995056152,0.01968739286826376,0.04507145881652832,0.004066858897332044,,gini,3,1,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_leaf': 1}",0.8031866825208085,0.834781344959704,0.7876170342878832,0.8037092488718317,0.8187260132427987,0.8096040647766053,0.015977900616278257,29,0.8289906661668577,0.8202032930024441,0.8210320429332816,0.8274393430162821,0.8232690310585398,0.824186875235481,0.0034733063836361747
0.10580229759216309,0.023431053821438952,0.03158912658691406,0.010330123780466592,,gini,3,5,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_leaf': 5}",0.8031866825208085,0.834781344959704,0.7876170342878832,0.8037092488718317,0.8187260132427987,0.8096040647766053,0.015977900616278257,29,0.8289906661668577,0.8202032930024441,0.8210320429332816,0.8274393430162821,0.8232690310585398,0.824186875235481,0.0034733063836361747
0.10417122840881347,0.016926959659706173,0.042450571060180665,0.005455357560539937,,gini,3,10,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_leaf': 10}",0.8031866825208085,0.834781344959704,0.7876170342878832,0.8037092488718317,0.8187260132427987,0.8096040647766053,0.015977900616278257,29,0.8289906661668577,0.8202032930024441,0.8210320429332816,0.8274393430162821,0.8232690310585398,0.824186875235481,0.0034733063836361747
0.0930776596069336,0.02332241152034258,0.03680973052978516,0.006006853559065077,,gini,3,20,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_leaf': 20}",0.8031866825208085,0.834781344959704,0.7876170342878832,0.8037092488718317,0.8187260132427987,0.8096040647766053,0.015977900616278257,29,0.8289906661668577,0.8202032930024441,0.8210320429332816,0.8274393430162821,0.8232690310585398,0.824186875235481,0.0034733063836361747
0.07460513114929199,0.004032979428373557,0.021268272399902345,0.001184118968655406,,gini,5,1,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1}",0.8092482494384992,0.84018496498877,0.7992888321875924,0.8171260174602505,0.8458363206950361,0.8223368769540297,0.017891091062830558,7,0.8593898308661037,0.8538365446717432,0.8593485056615824,0.8589366372536211,0.8517968151042388,0.8566616667114578,0.003208911649324575
0.07479028701782227,0.005803813500437517,0.02298707962036133,0.001539591687154041,,gini,5,5,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 5}",0.8062650284053376,0.8404914783987316,0.795848973050483,0.8170732993125553,0.8445368183543502,0.8208431195042916,0.01896780964562776,12,0.8603390062967355,0.8533967391752296,0.8595154303026943,0.8581358278340572,0.8517382595236116,0.8566250526264657,0.003427329318100572
0.07240543365478516,0.0036144653616312448,0.020685100555419923,0.00033989896531062293,,gini,5,10,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 10}",0.8094781344959704,0.8439688201876073,0.7939669351777656,0.8116196069334908,0.8439516469149339,0.8205970287419536,0.020025307089793457,14,0.8597918869403154,0.8529811658406301,0.8593748969091889,0.8576398373243498,0.8514928209208699,0.8562561215870709,0.0033928581981104468
0.07018923759460449,0.0007673786031992254,0.02025766372680664,0.0004380123302084003,,gini,5,20,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 20}",0.8134945171092614,0.8441485004624125,0.8044288515878706,0.8073072624520264,0.8437829488423094,0.822632416090776,0.017663624853467383,6,0.8582982296674851,0.8520966095084366,0.8579824287073435,0.8595479245263101,0.8513869260398482,0.8558624236898847,0.003412386968517347
0.08733634948730469,0.00802901325317944,0.02277665138244629,0.002462597905551963,,gini,8,1,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__max_depth': 8, 'clf__min_samples_leaf': 1}",0.7803593605496102,0.7965913594926675,0.7572671966597782,0.7788025599932521,0.8268156130066213,0.7879672179403858,0.023099503772731594,62,0.9148509853917979,0.9183465159591041,0.917003979800139,0.9209695946436324,0.9072497746847235,0.9156841700958793,0.004660448873310836
0.0870905876159668,0.006827240670339817,0.021579265594482422,0.0006806199949619585,,gini,8,5,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__max_depth': 8, 'clf__min_samples_leaf': 5}",0.777550535077289,0.799741049015722,0.7753152545232171,0.7959148707351018,0.8037408797604486,0.7904525178223558,0.01173279653801877,54,0.9104664476870483,0.9076505715658164,0.9075545935945802,0.9117047822260225,0.9062419589167447,0.9087236707980424,0.0020298509286407885
0.07922477722167968,0.0009215433972507272,0.020351696014404296,0.00038967861937999046,,gini,8,10,"{'clf__class_weight': None, 'clf__criterion': 'gini', 'clf__max_depth': 8, 'clf__min_samples_leaf': 10}",0.787668119963007,0.8093354472189193,0.7839346716713762,0.8020249040529712,0.8183438066720088,0.8002613899156564,0.012942754502301547,46,0.9024708233231427,0.8985729069923469,0.8984271806098225,0.9046985657676488,0.8976446801182856,0.9003628313622493,0.002741574081135093
